Solution,X1,X2,F1,F2,C1_value,C2_value,C1_satisfied,C2_satisfied,All_constraints_OK
1,0.081992178992808,0.1323862562394501,0.0382666666666666,48.11870000000001,-0.7956729516709906,-64.80669151180886,True,True,True
4,0.1244927887139412,0.1084124074667587,0.0382666666666666,48.11870000000001,-1.217676182604901,-63.98584152991201,True,True,True
23,0.1786462259533663,0.0206595458913945,0.1466,47.6517,-1.754120968649847,-62.59795895097832,True,True,True
6,0.2000715318233279,0.1802401847696693,0.2348,46.178700000000006,-1.9282001761813417,-63.2528117414967,True,True,True
9,0.323047924709603,0.1962715525381919,0.5084000000000001,44.7482,-3.087596763101093,-61.45174500387044,True,True,True
99,0.3180861418851766,0.3037910510777031,0.6308000000000001,43.8057,-2.987393622477473,-62.22683583267768,True,True,True
98,0.3180861418851766,0.2858285179680599,0.6308000000000001,43.8057,-2.997984683508552,-62.10846957298874,True,True,True
51,0.4058080771632329,0.3037910510777031,0.9046,42.8807,-3.8011115734265104,-60.88678627006031,True,True,True
92,0.4045007710845656,0.3588891689236614,1.1608,42.4127,-3.752585401466934,-61.27374498556763,True,True,True
57,0.2168629961992483,0.6090958705627917,1.565,42.029700000000005,-1.7506026233353251,-65.90279462284593,True,True,True
50,0.4058080771632329,0.5288641183960784,1.6684,41.05219999999999,-3.613703320414544,-62.424632926982525,True,True,True
56,0.473525751717213,0.5652882997027139,1.9788,40.5947,-4.191480017851994,-61.659095270061,True,True,True
97,0.5985681354572613,0.4667928920829803,2.2524,39.7077,-5.409501937688638,-59.09984660206567,True,True,True
21,0.4560484319956771,0.6905069571227103,2.7284,39.2792,-3.875704289796193,-62.831046860966,True,True,True
17,0.5776058219792747,0.7048172414412042,3.1484,37.9367,-4.945662390375606,-61.11760612639597,True,True,True
58,0.6292447207203368,0.6905069571227103,3.5968,37.4992,-5.419698430814087,-60.24787498760016,True,True,True
82,0.6483404483531028,0.7519037660933182,4.0318000000000005,36.7315,-5.497699873095016,-60.42368003334627,True,True,True
31,0.6064647439382838,0.8478379735514814,4.0484,36.4175,-4.978018724346832,-61.770220653332345,True,True,True
15,0.7723301928677371,0.8538658098556213,4.8284,35.12,-6.397721180621858,-59.39149252130544,True,True,True
48,0.7012752279389689,0.9302024624238718,5.677999999999999,34.8122,-5.6556887129694005,-61.017874693940016,True,True,True
46,0.8835381328772401,0.8478379735514814,5.788400000000001,33.8675,-7.33591246712832,-57.74988657691712,True,True,True
37,0.9802786079102124,0.8457527664519093,6.9284,33.0575,-8.126542188014678,-56.366302763235495,True,True,True
35,0.951472746088109,1.0262906217169356,7.417,32.0056,-7.556154634108513,-58.19275261966443,True,True,True
81,0.8788390228373462,1.1176145418857508,8.1284,31.7102,-6.766969936077267,-59.96568317821316,True,True,True
62,1.0446794490605509,1.081694443024923,8.7428,31.2056,-8.185376471245057,-57.336713492541165,True,True,True
11,1.2023420551809416,0.9738577011835684,9.567,30.7622,-9.62939531199814,-54.29969856401762,True,True,True
45,1.096493299269047,1.2098971742440652,10.6024,29.4235,-8.298784265104775,-57.68163898474532,True,True,True
96,1.2363287406567265,1.121170610110475,11.5684,28.9627,-9.577755114617922,-55.03129610210457,True,True,True
38,1.0446794490605509,1.408797159906537,12.1574,28.491200000000003,-7.370729901555329,-60.11397636352058,True,True,True
100,1.1404539728495249,1.400482627373409,13.0174,27.7112,-8.142552874732253,-58.71761905241105,True,True,True
59,1.1404539728495249,1.468455945322157,13.534,27.0731,-7.947541600954992,-59.32047023388081,True,True,True
33,1.1957461425206408,1.4974809891988332,14.406,26.6906,-8.2852032748415,-58.82520580522767,True,True,True
30,1.444509239475871,1.3429219881836394,16.029999999999998,26.1455,-10.555045985480453,-54.13543050676616,True,True,True
90,1.5298549161982122,1.2884671242413357,16.2688,25.445500000000006,-11.297945567115546,-52.5537276811432,True,True,True
44,1.4331587537452206,1.5068331799383108,17.056,24.8531,-10.00709729185265,-55.734949265305886,True,True,True
43,1.551632439762483,1.5068331799383108,18.256,24.15310000000001,-10.838214937338554,-54.1929895037164,True,True,True
88,1.582600136423402,1.4842439548432416,18.886,23.8106,-11.118398054937945,-53.59146485558109,True,True,True
