Solution,X1,X2,F1,F2,C1_value,C2_value,C1_satisfied,C2_satisfied,All_constraints_OK
2,0.0256654842618057,0.0235684508837858,0.0978819933640335,49.17225858358511,-0.2554406536586064,-65.03197714607327,True,True,True
3,0.0260209563647903,0.0434706688149283,0.0978819933640335,49.17225858358511,-0.2576427744305434,-65.14705550027028,True,True,True
61,0.0486135606780053,0.1151963185846315,0.1312313557991853,48.3101580382634,-0.4705021366828035,-65.22899441075695,True,True,True
39,0.0986454782684425,0.2435004644217886,0.3255874023149543,46.62808101113366,-0.9174313761279932,-65.25169854079208,True,True,True
87,0.101212077804902,0.1151963185846315,0.1420277911263093,47.82056044736233,-0.988606701539986,-64.39529874313838,True,True,True
40,0.1998541347780051,0.2401685549967205,0.4414558179801591,45.62472384182678,-1.9009187377829733,-63.64096778352932,True,True,True
73,0.2305578084953767,0.0223759498876204,0.296897158179723,47.25528008140646,-2.2519204987622,-61.798988349591255,True,True,True
12,0.2511034575211113,0.2401685549967205,0.5331736745775952,45.04029119842286,-2.3903006940228444,-62.844089890830816,True,True,True
35,0.3256944650610707,0.4218650024575032,1.241917425773666,42.48996594152761,-2.972897685740822,-62.90412553863776,True,True,True
44,0.3996441051403305,0.6997010104689045,2.5434999963995533,39.51476628531697,-3.3471441365786845,-63.75319729539275,True,True,True
83,0.4044450303791309,0.5482277732230483,1.805155907918985,41.25271516383961,-3.580320829859833,-62.58237562720366,True,True,True
38,0.4052982923140011,0.2912637982706771,1.01615777423426,43.390318891975824,-3.8038816172043006,-60.81191141853576,True,True,True
100,0.4597407392699953,0.2707070773861686,1.1076077441497645,43.218141298703365,-4.312763523608471,-59.85303450508856,True,True,True
95,0.4897077070132828,0.7232671905103548,2.980570282372616,38.49424370987008,-4.134148002955879,-62.56720889802655,True,True,True
55,0.560538723252846,0.2909255838957704,1.6651575759865396,41.67975291360066,-5.206545876897437,-58.4757752869601,True,True,True
81,0.561858448137849,0.6211493256592571,2.9690298198668628,38.86373419346056,-4.917073080867674,-60.73867218426077,True,True,True
77,0.6362339108152271,0.2907757899654394,2.0976758288477693,40.67748701959974,-5.872994958851006,-57.35425631605027,True,True,True
66,0.6475445397002737,0.3623337721856416,2.2685581603890186,40.193016017529175,-5.92484570364082,-57.66388969127138,True,True,True
5,0.6475445397002737,0.7848064312053442,4.118141696221014,36.610547655596896,-5.4402103316458295,-60.6833610173846,True,True,True
72,0.6935793655429704,0.8956482450795061,5.111337210468968,35.231937076740486,-5.65255554020872,-60.859857737010486,True,True,True
15,0.8043207422997384,0.4833074524827392,3.5154618947360308,38.01264086170125,-7.16268947287843,-56.21123078821957,True,True,True
36,0.8043207422997384,0.7806659409596787,5.004665925220418,35.43881658737161,-6.786836255129323,-58.37123493683031,True,True,True
52,0.876455129570188,0.9062768274935584,6.3407183594769005,33.59620134989007,-7.175040013500201,-58.30389017404002,True,True,True
19,0.9237922168257308,0.8049190152253926,5.867521250157607,34.471895841320915,-7.73663548731809,-56.85012530307988,True,True,True
